iteration,owner_loss,other_loss,u1,u2,u3
14,0.74,0.75,7199.0,13929.0,5580.0
14,0.74,0.76,5734.0,11354.0,5446.0
14,0.74,0.77,6075.0,13782.0,5379.0
14,0.74,0.78,5757.0,14417.0,4371.0
14,0.74,0.79,7866.0,10975.0,5965.0
14,0.74,0.8,5466.0,14508.0,6273.0
14,0.74,0.81,6901.0,13167.0,4609.0
14,0.74,0.8200000000000001,7787.0,13127.0,5920.0
14,0.74,0.8300000000000001,7988.0,14995.0,5072.0
14,0.74,0.8400000000000001,5271.0,14403.0,7132.0
14,0.74,0.8500000000000001,7459.0,12909.0,5081.0
14,0.74,0.8600000000000001,7166.0,14459.0,7612.0
14,0.74,0.8700000000000001,9482.0,15839.0,4703.0
14,0.74,0.88,4086.0,15843.0,5127.0
14,0.74,0.89,7733.0,17873.0,4589.0
14,0.74,0.9,8916.0,16365.0,2395.0
15,0.75,0.6,5610.0,10959.0,3615.0
15,0.75,0.61,7009.0,10640.0,2496.0
15,0.75,0.62,6101.0,11404.0,4163.0
15,0.75,0.63,4486.0,12072.0,4864.0
15,0.75,0.64,7748.0,11466.0,3911.0
15,0.75,0.65,4566.0,10180.0,5175.0
15,0.75,0.66,4939.0,8264.0,5021.0
15,0.75,0.6699999999999999,6720.0,12299.0,4418.0
15,0.75,0.6799999999999999,6357.0,11891.0,1655.0
15,0.75,0.69,4213.0,13045.0,5032.0
15,0.75,0.7,6290.0,11424.0,4278.0
15,0.75,0.71,3738.0,12090.0,3961.0
15,0.75,0.72,6322.0,13315.0,4511.0
15,0.75,0.73,4901.0,12160.0,3566.0
15,0.75,0.74,7199.0,12262.0,5033.0
15,0.75,0.75,7744.0,12137.0,4121.0
15,0.75,0.76,7623.0,11924.0,5322.0
15,0.75,0.77,7921.0,12494.0,6794.0
15,0.75,0.78,5772.0,12439.0,4004.0
15,0.75,0.79,4674.0,13351.0,7194.0
15,0.75,0.8,6950.0,13845.0,4444.0
15,0.75,0.81,7326.0,12345.0,6770.0
15,0.75,0.8200000000000001,6131.0,15298.0,6409.0
15,0.75,0.8300000000000001,6738.0,15843.0,6472.0
15,0.75,0.8400000000000001,7703.0,13706.0,3724.0
15,0.75,0.8500000000000001,9653.0,12342.0,5839.0
15,0.75,0.8600000000000001,9352.0,13509.0,6999.0
15,0.75,0.8700000000000001,6644.0,15384.0,5458.0
15,0.75,0.88,6552.0,14729.0,7959.0
15,0.75,0.89,6173.0,17823.0,4540.0
15,0.75,0.9,7609.0,13886.0,8480.0
16,0.76,0.6,4858.0,10985.0,2612.0
16,0.76,0.61,3262.0,12763.0,2512.0
16,0.76,0.62,6576.0,11963.0,2884.0
16,0.76,0.63,5813.0,13002.0,2239.0
16,0.76,0.64,6606.0,8447.0,3019.0
16,0.76,0.65,8357.0,10581.0,3223.0
16,0.76,0.66,5131.0,10425.0,3506.0
16,0.76,0.6699999999999999,8206.0,10403.0,4730.0
16,0.76,0.6799999999999999,6544.0,10846.0,4638.0
16,0.76,0.69,7209.0,11838.0,3327.0
16,0.76,0.7,3606.0,12811.0,4620.0
16,0.76,0.71,6543.0,12752.0,3537.0
16,0.76,0.72,4579.0,12468.0,7838.0
16,0.76,0.73,4869.0,14347.0,3067.0
16,0.76,0.74,6373.0,13167.0,5752.0
16,0.76,0.75,6382.0,13841.0,4375.0
16,0.76,0.76,4511.0,13805.0,5657.0
16,0.76,0.77,4938.0,11498.0,6246.0
16,0.76,0.78,8169.0,12162.0,6643.0
16,0.76,0.79,6180.0,12371.0,4671.0
