iteration,owner_loss,other_loss,u1,u2,u3
10,0.7,0.65,8111.0,7875.0,8228.0
10,0.7,0.66,8840.0,7842.0,8673.0
10,0.7,0.6699999999999999,8385.0,8282.0,8454.0
10,0.7,0.6799999999999999,9744.0,8951.0,7387.0
10,0.7,0.69,8873.0,7447.0,8064.0
10,0.7,0.7,10198.0,7922.0,7647.0
10,0.7,0.71,8187.0,9297.0,8266.0
10,0.7,0.72,9877.0,8314.0,8938.0
10,0.7,0.73,9299.0,8858.0,9447.0
10,0.7,0.74,9956.0,7390.0,9236.0
10,0.7,0.75,10457.0,9002.0,7669.0
10,0.7,0.76,10152.0,8799.0,9353.0
10,0.7,0.77,10372.0,8765.0,8110.0
10,0.7,0.78,10550.0,7809.0,9210.0
10,0.7,0.79,9883.0,8595.0,9997.0
10,0.7,0.8,9292.0,9073.0,10324.0
10,0.7,0.81,9740.0,8166.0,10724.0
10,0.7,0.8200000000000001,9053.0,9587.0,10442.0
10,0.7,0.8300000000000001,10340.0,8349.0,9716.0
10,0.7,0.8400000000000001,11464.0,9400.0,9477.0
10,0.7,0.8500000000000001,10715.0,9297.0,11457.0
10,0.7,0.8600000000000001,11122.0,9337.0,9951.0
10,0.7,0.8700000000000001,11215.0,10128.0,11050.0
10,0.7,0.88,10462.0,9170.0,10347.0
10,0.7,0.89,10337.0,10392.0,12439.0
10,0.7,0.9,12013.0,9682.0,12027.0
11,0.71,0.6,8862.0,7116.0,7386.0
11,0.71,0.61,9995.0,8746.0,6358.0
11,0.71,0.62,8858.0,8339.0,8045.0
11,0.71,0.63,9889.0,6904.0,6728.0
11,0.71,0.64,8850.0,7165.0,8095.0
11,0.71,0.65,9599.0,8629.0,6683.0
11,0.71,0.66,9310.0,8732.0,7464.0
11,0.71,0.6699999999999999,8844.0,9399.0,6992.0
11,0.71,0.6799999999999999,9014.0,9234.0,7144.0
11,0.71,0.69,8781.0,8006.0,8899.0
11,0.71,0.7,9605.0,7931.0,8358.0
11,0.71,0.71,10147.0,8411.0,7578.0
11,0.71,0.72,10027.0,7616.0,8344.0
11,0.71,0.73,8893.0,7795.0,10073.0
11,0.71,0.74,8788.0,8885.0,9335.0
11,0.71,0.75,9668.0,8823.0,9369.0
11,0.71,0.76,9989.0,9102.0,8921.0
11,0.71,0.77,10053.0,7894.0,9840.0
11,0.71,0.78,10091.0,7999.0,8756.0
11,0.71,0.79,10654.0,8946.0,9224.0
11,0.71,0.8,9468.0,8530.0,10039.0
11,0.71,0.81,10382.0,9262.0,9737.0
11,0.71,0.8200000000000001,11288.0,8731.0,9712.0
11,0.71,0.8300000000000001,9572.0,9081.0,10535.0
11,0.71,0.8400000000000001,11542.0,9370.0,10287.0
11,0.71,0.8500000000000001,11548.0,8746.0,10110.0
11,0.71,0.8600000000000001,10972.0,9376.0,10313.0
11,0.71,0.8700000000000001,9331.0,10941.0,10972.0
11,0.71,0.88,11469.0,9213.0,10566.0
11,0.71,0.89,11072.0,9774.0,10390.0
11,0.71,0.9,12006.0,10194.0,11479.0
12,0.72,0.6,9329.0,7435.0,6618.0
12,0.72,0.61,8632.0,8912.0,7540.0
12,0.72,0.62,9520.0,7531.0,6593.0
12,0.72,0.63,8971.0,9360.0,7159.0
12,0.72,0.64,9650.0,9008.0,6917.0
12,0.72,0.65,10177.0,7297.0,6531.0
12,0.72,0.66,8380.0,8444.0,8479.0
12,0.72,0.6699999999999999,10370.0,7616.0,7172.0
12,0.72,0.6799999999999999,9566.0,9208.0,7418.0
12,0.72,0.69,10608.0,7493.0,7372.0
12,0.72,0.7,9255.0,8168.0,9131.0
12,0.72,0.71,10689.0,8173.0,7016.0
12,0.72,0.72,9508.0,8647.0,7532.0
12,0.72,0.73,9358.0,8541.0,9342.0
12,0.72,0.74,9756.0,9226.0,8427.0
12,0.72,0.75,10461.0,9241.0,8375.0
12,0.72,0.76,9459.0,9054.0,9182.0
